ONS_ID,food_convenience_num_region_plus_buffer,food_convenience_num_per_1000_res_plus_buffer,food_convenience_dist_closest_3_popwt,food_convenience_pct_within_15_mins,food_fastfood_num_region_plus_buffer,food_fastfood_num_per_1000_res_plus_buffer,food_fastfood_dist_closest_3_popwt,food_fastfood_pct_within_15_mins,food_grocery_num_region_plus_buffer,food_grocery_num_per_1000_res_plus_buffer,food_grocery_dist_closest_3_popwt,food_grocery_pct_within_15_mins,food_resto_num_region_plus_buffer,food_resto_num_per_1000_res_plus_buffer,food_resto_dist_closest_3_popwt,food_resto_pct_within_15_mins,food_specialty_num_region_plus_buffer,food_specialty_num_per_1000_res_plus_buffer,food_specialty_dist_closest_3_popwt,food_specialty_pct_within_15_mins,num_people_attached,num_people_uncertainly_attached,total_population_attachment,percent_attached,percent_uncertaintly_attached,crime_person_total,crime_property_total,crime_other_total,crime_total,crime_person_total_per_1000pop_plus_50m_buffer,crime_property_total_per_1000pop_plus_50m_buffer,crime_other_total_per_1000pop_plus_50m_buffer,crime_total_per_1000pop_plus_50m_buffer,walkscore_mean,walkscore_sd,bikescore_mean,bikescore_sd,unemployment_rate_15_years,percent_of_census_families_that_are_lone_parent,SQ_nohighschool,SQ_limat,SQ_coreneed,neg_medianmarketincome,Factor_scores,Rank_order,Deciles,Quintiles
VAR_ID,VAR100,VAR101,VAR102,VAR103,VAR104,VAR105,VAR106,VAR107,VAR108,VAR109,VAR110,VAR111,VAR112,VAR113,VAR114,VAR115,VAR116,VAR117,VAR118,VAR119,VAR120,VAR121,VAR122,VAR123,VAR124,VAR125,VAR126,VAR127,VAR128,VAR129,VAR130,VAR131,VAR132,VAR133,VAR134,VAR135,VAR136,VAR137,VAR138,VAR139,VAR140,VAR141,VAR142,VAR143,VAR144,VAR145,VAR146
type,Number,Number per 1000,Distance,Percent within distance,Number,Number per 1000,Distance,Percent within distance,Number,Number per 1000,Distance,Percent within distance,Number,Number per 1000,Distance,Percent within distance,Number,Number per 1000,Distance,Percent within distance,Number,Number,Number,Percent of pop,Percent of pop,Number,Number,Number,Number,Number per 1000,Number per 1000,Number per 1000,Number per 1000,Average,Standard deviation,Average,Standard deviation,Percent of labour force,Percent of census families,Square,Square,Square,Median,Index score,Index score,Index score,Index score
category,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Primary care attachment,Primary care attachment,Primary care attachment,Primary care attachment,Primary care attachment,Crime and safety,Crime and safety,Crime and safety,Crime and safety,Crime and safety,Crime and safety,Crime and safety,Crime and safety,Transportation,Transportation,Transportation,Transportation,SES index,SES index,SES index,SES index,SES index,SES index,SES index,SES index,SES index,SES index
3030,5,250,NA,NA,31,1550,NA,NA,0,0,NA,NA,19,950,NA,NA,1,50,NA,NA,NA,NA,NA,NA,NA,17,147,3,167,1500,11250,400,13150,20.48314607,9.476181096,62.6741573,6.980126466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3031,2,0.873,3.231,0.491,2,0.873,2.144,0.491,0,0,19.841,0,1,0.437,5.598,0.113,1,0.437,15.119,0.375,2240,226,2466,90.8,9.2,11,22,2,35,5.240174672,10.04366812,0.873362445,16.15720524,6.19,6.140929091,36.46,3.814962568,0.138339921,0.165413534,0.34099717,0.289984326,0.315398858,NA49200,0.455463293,74,7,4
3032,5,0.339,1.14,0.793,22,1.49,0.715,1,1,0.068,1.58,0.792,15,1.016,1.344,0.635,1,0.068,1.814,0.378,13297,1762,15059,88.3,11.7,66,257,16,339,5.010155721,18.82193636,1.218686527,25.05077861,37.6,17.85180295,61.3,9.633170807,0.103641457,0.17114094,0.236112534,0.203271849,0.296531675,NA48000,NA0.22962755,50,5,3
3033,0,0,9.273,0.011,0,0,9.016,0.011,0,0,13.429,0,0,0,9.487,0,0,0,10.165,0,3672,364,4036,91,9,19,28,5,52,4.98687664,7.874015748,1.312335958,14.17322835,0.24,0.780054388,28.52,3.998686653,0.057777778,0.090909091,0.173271737,0.184235064,0.2,NA56000,NA1.334063819,4,1,1
3034,2,0.228,1.193,0.903,3,0.342,0.971,0.903,0,0,2.859,0.197,2,0.228,1.268,0.539,1,0.114,1.615,0.236,7998,1448,9446,84.7,15.3,37,116,28,181,4.908675799,14.38356164,3.196347032,22.48858447,21.04,9.254995921,74.05,5.303657972,0.1140553,0.201284797,0.325669474,0.318681647,0.347728389,NA38800,0.680416235,82,8,4
3035,4,0.482,1.315,0.9,23,2.769,0.928,1,3,0.361,1.518,0.594,10,1.204,1.197,0.649,0,0,2.132,0.147,7840,1539,9379,83.6,16.4,66,276,15,357,7.947019868,33.59422035,1.806140879,43.3473811,24.71,11.52625023,74.18,5.836804162,0.120670391,0.165116279,0.287528619,0.239586754,0.292848968,NA37600,0.264542829,70,7,4
3036,1,0.254,1.704,0.848,0,0,1.745,0.126,0,0,3.8,0.084,3,0.761,0.951,0.932,0,0,2.186,0.084,3697,572,4269,86.6,13.4,10,36,3,49,2.791878173,10.15228426,0.76142132,13.70558376,10.48,4.69790411,63.72,8.084253306,0.083969466,0.111111111,0.232495277,0.207063173,0.250784931,NA56400,NA0.800890055,29,3,2
3037,1,0.217,3.329,0.109,1,0.217,3.047,0.109,0,0,4.427,0.021,1,0.217,3.238,0.114,1,0.217,3.888,0.089,4424,419,4843,91.3,8.7,18,30,6,54,4.130434783,8.47826087,1.304347826,13.91304348,2.13,3.883804757,22.89,6.898828769,0.062240664,0.101754386,0.235200232,0.175062823,0.196116135,NA54800,NA1.125356845,8,1,1
3038,2,0.354,6.458,0.133,0,0,7.036,0.041,0,0,11.057,0.02,3,0.531,5.148,0.154,0,0,11.438,0,5146,580,5726,89.9,10.1,18,50,2,70,3.183023873,9.549071618,0.530503979,13.26259947,1.66,4.981217246,28.81,6.311277384,0.073051948,0.045584046,0.190850311,0.144337567,0.195615199,NA54400,NA1.387068916,3,1,1
3039,2,0.656,5.496,0.034,2,0.656,5.596,0.092,0,0,9.692,0,4,1.311,5.62,0.103,0,0,9.825,0.002,2313,396,2709,85.4,14.6,13,67,4,84,5.901639344,28.85245902,1.639344262,36.39344262,0.74,3.955867653,26.62,2.377419023,0.074074074,0.145945946,0.364046866,0.221516081,0.269535847,NA45200,NA0.166170496,57,6,3
