Var_Name_clean,Number of convenience stores in the neighbourhood (plus 50m buffer),Number of convenience stores in the neighbourhood per 1000 people (plus 50m buffer),Average distance to closest three convenience stores (population-weighted),Percent of population within a 15-minute walk of a convenience store,Number of fast food restaurants in the neighbourhood (plus 50m buffer),Number of fast food restaurants in the neighbourhood per 1000 people (plus 50m buffer),Average distance to closest three fast food restaurants (population-weighted),Percent of population within a 15-minute walk of a fast food restaurant,Number of grocery stores in the neighbourhood (plus 50m buffer),Number of grocery stores in the neighbourhood per 1000 people (plus 50m buffer),Average distance to closest three grocery stores (population-weighted),Percent of population within a 15-minute walk of a grocery store,Number of restaurants in the neighbourhood (plus 50m buffer),Number of restaurants in the neighbourhood per 1000 people (plus 50m buffer),Average distance to closest three restaurants (population-weighted),Percent of population within a 15-minute walk of a restaurant,Number of specialty food stores in the neighbourhood (plus 50m buffer),Number of specialty food stores in the neighbourhood per 1000 people (plus 50m buffer),Average distance to closest three specialty food stores (population-weighted),Percent of population within a 15-minute walk of a specialty food store,Number of people attached to a primary care physician,Number of people uncertainly attached to a primary care physician,Percent of people attached to a primary care physician,Percent of people attached to a primary care physician,Percent of people uncertainly attached to a primary care physician,Number of crimes against the person,Number of property crimes,Number of other crimes,Number of total crimes,Number of crimes against the person per 1000 people (plus 50m buffer),Number of property crimes per 1000 people (plus 50m buffer),Number of other crimes per 1000 people (plus 50m buffer),Number of total crimes per 1000 people (plus 50m buffer),Mean walk score,Mean bike score,SES index rank order,SES index decile,SES index quintile,Percent tree canopy coverage,Percent of residential area covered in parkland,Pedestrian network density (km per km squared),Cycling network density (km per km squared),Trail network density (km per km squared),Number of residents within a 15-minute walk of a CHC,Percent of residents within a 15-minute walk of a CHC,Average distance to the nearest CHC (km),Total population (2021),Number of private dwellings,Number of households
type 1,Number,Number,Number,Percentage 2,Number,Number,Number,Percentage 2,Number,Number,Number,Percentageage 2,Number,Number,Number,Percentage 2,Number,Number,Number,Percentage 2,Number,Number,Number,Percentage 1,Percentage 1,Number,Number,Number,Number,Number,Number,Number,Number,Average,Average,Rank,Rank,Rank,Percentage 1,Percentage 1,Number,Number,Number,Number,Percentage 1,Number,Number,Number,Number
type 2,Number,Number per 1000,Distance,Percentage within distance,Number,Number per 1000,Distance,Percentage within distance,Number,Number per 1000,Distance,Percentage within distance,Number,Number per 1000,Distance,Percentage within distance,Number,Number per 1000,Distance,Percentage within distance,Number,Number,Number,Percentage of pop,Percentage of pop,Number,Number,Number,Number,Number per 1000,Number per 1000,Number per 1000,Number per 1000,Average,Average,Rank,Rank,Rank,Percentage of area,Percentage of area,Density,Density,Density,Number,Percentage within distance,Distance,Number,Number,Number
cat,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Primary care attachment,Primary care attachment,Primary care attachment,Primary care attachment,Primary care attachment,Crime and safety,Crime and safety,Crime and safety,Crime and safety,Crime and safety,Crime and safety,Crime and safety,Crime and safety,Transportation,Transportation,SES index,SES index,SES index,Environment,Environment,Transport networks,Transport networks,Transport networks,CHC access,CHC access,CHC access,General demographics,General demographics,General demographics
data_ID,food_convenience_num_region_plus_buffer,food_convenience_num_per_1000_res_plus_buffer,food_convenience_dist_closest_3_popwt,food_convenience_pct_within_15_mins,food_fastfood_num_region_plus_buffer,food_fastfood_num_per_1000_res_plus_buffer,food_fastfood_dist_closest_3_popwt,food_fastfood_pct_within_15_mins,food_grocery_num_region_plus_buffer,food_grocery_num_per_1000_res_plus_buffer,food_grocery_dist_closest_3_popwt,food_grocery_pct_within_15_mins,food_resto_num_region_plus_buffer,food_resto_num_per_1000_res_plus_buffer,food_resto_dist_closest_3_popwt,food_resto_pct_within_15_mins,food_specialty_num_region_plus_buffer,food_specialty_num_per_1000_res_plus_buffer,food_specialty_dist_closest_3_popwt,food_specialty_pct_within_15_mins,num_people_attached,num_people_uncertainly_attached,total_population_attachment,percent_attached,percent_uncertaintly_attached,crime_person_total,crime_property_total,crime_other_total,crime_total,crime_person_total_per_1000pop_plus_50m_buffer,crime_property_total_per_1000pop_plus_50m_buffer,crime_other_total_per_1000pop_plus_50m_buffer,crime_total_per_1000pop_plus_50m_buffer,walkscore_mean,bikescore_mean,SES_Rank_order,SES_Deciles,SeS_Quintiles,Percent_coverage_tree canopy,Percent_coverage_parkland_residential,Pedestrian_Network_Density_km_per_km2,Cycling_Network_Density_km_per_km2,Trail_Network_Density_km_per_km2,Number_of_Residents_within_15_mins_chc,Residents_within_15_min_walk_%_chc,Average_distance_to_nearest_chc_km,pop2021_total,dwellings_priv_count,household_count
0,359,0.353,1.642,0.771,1549,1.522,1.265,0.812,129,0.127,2.606,0.543,1071,1.053,1.41,0.753,289,0.284,2.359,0.554,892197,165362,1057559,84.4,15.6,7627,29132,6201,42960,7.496154621,28.64205297,6.094618435,42.23282602,32.77221968,65.2483527,NA,NA,NA,34.49,14.3,1.08,0.89,0.792071086,178107,17.50523367,7.39822,1017315,427115,407250
3001,2,6.349,1.55,0.616,14,44.444,1.579,0.616,1,3.175,2.937,0,8,25.397,2.189,0,0,0,3.96,0,NA,NA,NA,NA,NA,13,70,18,101,44.44444444,234.9206349,57.14285714,336.5079365,12.765625,57.4375,84,8,4,27.66,16.26,0.54,1.09,0.55,0,0,4.61,315,130,125
3002,3,0.386,1.205,0.723,26,3.348,0.866,0.798,1,0.129,1.415,0.559,10,1.288,1.233,0.55,5,0.644,1.102,0.721,6517,1034,7551,86.3,13.7,49,184,10,243,8.886027044,28.46104314,1.93174501,39.2788152,36.78,77.97,14,2,1,34.02,18.35,5.79,2.82,2,1924,24.78,1.72,7765,3190,3055
3003,7,0.488,0.815,0.999,39,2.72,0.536,1,0,0,2.349,0.178,5,0.349,0.931,0.993,10,0.697,0.667,1,12603,3598,16201,77.8,22.2,110,302,37,449,8.647140865,23.43096234,2.928870293,35.0069735,35.54,80.01,104,10,5,17.26,11.03,12.58,4.14,4.02,1053,7.34,2.43,14340,6000,5745
3004,5,0.646,1.146,0.992,27,3.486,0.568,1,1,0.129,1.334,0.948,7,0.904,0.762,1,1,0.129,1.657,0.644,6644,1663,8307,80,20,95,386,48,529,12.65332473,50.6132989,6.455777921,69.72240155,51.56,65.4,89,9,5,18.95,10.26,6.47,4.77,1.24,1160,14.98,1.8,7745,3320,3220
3005,2,0.299,1.307,0.95,1,0.15,1.107,0.991,0,0,2.318,0.424,2,0.299,1.028,0.98,1,0.15,1.631,0.74,6329,1125,7454,84.9,15.1,21,77,9,107,3.293413174,11.9760479,1.347305389,16.61676647,28.96,72.47,69,7,4,28.56,22.21,9.69,9.43,7.1,0,0,4.58,6680,2835,2785
3006,1,NA,NA,NA,3,NA,NA,NA,0,NA,NA,NA,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,63.4,78.5,NA,NA,NA,41.67,0,0.99,1.9,0.58,NA,NA,NA,NA,0,10
