Data_ID,Non-official languages spoken most often at home,lang_count,ONS_ID
ID1006,              Rohingya,0,3015
ID1007,              Sindhi,0,3015
ID1008,              Sinhala (Sinhalese),0,3015
ID1009,              Urdu,10,3015
ID1012,              Baluchi,0,3015
ID1013,              Kurdish,0,3015
ID1014,              Parsi,0,3015
ID1015,              Pashto,0,3015
ID1017,                Dari,0,3015
ID1018,                Iranian Persian,55,3015
ID1019,"                Persian (Farsi), n.o.s.",0,3015
ID1023,            Catalan,0,3015
ID1024,            Italian,25,3015
ID1025,            Portuguese,60,3015
ID1026,            Romanian,30,3015
ID1027,            Spanish,80,3015
ID1030,        Japanese,0,3015
ID1031,        Korean,0,3015
ID1032,        Mongolian,0,3015
ID1034,          Akan (Twi),0,3015
ID1035,          Bamanankan,0,3015
ID1036,          Edo,0,3015
ID1037,          Éwé,0,3015
ID1038,"          Fulah (Pular, Pulaar, Fulfulde)",0,3015
ID1039,          Ga,0,3015
ID1040,          Ganda,0,3015
ID1041,          Gikuyu,0,3015
ID1042,          Igbo,0,3015
ID1043,          Kinyarwanda (Rwanda),0,3015
ID1044,          Lingala,0,3015
ID1045,          Luba-Kasai,0,3015
ID1046,          Mòoré,0,3015
ID1047,          Mwani,0,3015
ID1048,          Ndebele,0,3015
ID1049,          Rundi (Kirundi),0,3015
ID1050,          Shona,0,3015
ID1051,          Soninke,0,3015
ID1053,          Swahili,0,3015
ID1054,          Wojenaka,0,3015
ID1055,          Wolof,0,3015
ID1056,          Yoruba,0,3015
ID1059,          Dinka,0,3015
ID1060,          Nuer,0,3015
ID1062,"          African, n.o.s.",0,3015
ID1064,          American Sign Language,0,3015
ID1065,          Quebec Sign Language,0,3015
ID1069,            Hakka,0,3015
ID1070,            Mandarin,25,3015
ID1071,            Min Dong,0,3015
ID1072,"            Min Nan (Chaochow, Teochow, Fukien, Taiwanese)",0,3015
ID1073,            Wu (Shanghainese),0,3015
ID1074,            Yue (Cantonese),0,3015
ID1075,"            Chinese, n.o.s.",0,3015
ID1078,            Burmese,0,3015
ID1081,              S'gaw Karen,0,3015
ID1083,            Tibetan,0,3015
ID1087,          Lao,0,3015
ID1088,          Thai,15,3015
ID1091,          Azerbaijani,0,3015
ID1092,          Kazakh,0,3015
ID1093,          Turkish,55,3015
ID1094,          Uyghur,0,3015
ID1095,          Uzbek,0,3015
ID1098,          Estonian,0,3015
ID1099,          Finnish,0,3015
ID1100,          Hungarian,20,3015
ID877,            Kabyle,0,3058
ID878,            Tamazight,0,3058
ID881,            Hausa,0,3058
ID882,            Mina,0,3058
ID883,          Coptic,0,3058
ID885,            Bilen,0,3058
ID886,            Oromo,0,3058
ID887,            Somali,0,3058
ID890,            Amharic,0,3058
ID891,            Arabic,125,3058
ID893,              Assyrian Neo-Aramaic,0,3058
ID894,              Chaldean Neo-Aramaic,0,3058
ID895,"              Aramaic, n.o.s.",0,3058
ID896,            Harari,0,3058
ID897,            Hebrew,0,3058
ID898,            Maltese,0,3058
ID899,            Tigrigna,0,3058
ID902,          Khmer (Cambodian),0,3058
ID903,          Vietnamese,45,3058
