ons_ID,walkscore_mean,bikescore_mean,food_convenience_dist_closest_3_popwt,food_fastfood_dist_closest_3_popwt,food_grocery_dist_closest_3_popwt,food_resto_dist_closest_3_popwt,food_specialty_dist_closest_3_popwt,food_convenience_num_per_1000_res_plus_buffer,food_fastfood_num_per_1000_res_plus_buffer,food_grocery_num_per_1000_res_plus_buffer,food_resto_num_per_1000_res_plus_buffer,food_specialty_num_per_1000_res_plus_buffer,crime_person_total_per_1000pop_plus_50m_buffer,crime_property_total_per_1000pop_plus_50m_buffer,crime_other_total_per_1000pop_plus_50m_buffer,crime_total_per_1000pop_plus_50m_buffer,percent_attached,percent_uncertaintly_attached,food_convenience_pct_within_15_mins,food_fastfood_pct_within_15_mins,food_grocery_pct_within_15_mins,food_resto_pct_within_15_mins,food_specialty_pct_within_15_mins
3088,39.45454545,74.84090909,1.004,0.859,1.201,0.777,0.883,0.169,0.169,0,0.339,0.339,9.314140559,18.62828112,2.032176122,29.9745978,74.8,25.2,1,1,0.35,1,1
3089,26.36,73.97,0.738,0.65,1.625,0.763,2.082,0.799,1.439,0,0.799,0.16,5.595523581,39.00879297,1.918465228,46.52278177,81.4,18.6,1,1,0.352,1,0.87
3090,39.49,75.99,1.191,1.126,1.709,1.377,1.254,0.328,0.328,0,0,0.164,6.388206388,15.72481572,1.801801802,23.91482391,84.3,15.7,0.975,0.719,0.471,0.635,0.975
3091,34.43,56.34,2.034,1.367,2.094,1.327,2.186,0.133,0.934,0.2,0.634,0.167,3.968650992,23.87860597,1.634150409,29.48140737,88.9,11.1,0.415,0.552,0.314,0.567,0.197
3092,31.13,63.16,1.095,0.72,2.869,1.118,1.118,0.224,0.671,0,0,0,19.2393736,23.26621924,4.026845638,46.53243848,85,15,0.693,1,0,0.861,0.768
3093,28.53,82.97,1.066,0.724,1.453,1.167,1.118,0,0.949,0,0,0,10.75949367,17.40506329,3.164556962,31.32911392,83.3,16.7,0.945,1,0.78,0.89,0.945
3094,27.6,55.07,1.616,1.393,2.369,1.884,1.832,0.221,0.441,0,0,0,3.528114664,9.702315325,2.425578831,15.65600882,87.9,12.1,0.756,0.756,0,0,0.297
3095,42.39,64.13,0.928,0.81,1.48,0.903,1.116,0.585,2.338,0.195,0.974,0.779,5.358012664,18.5094983,1.656113005,25.52362396,88.4,11.6,0.985,0.977,0.66,0.839,0.84
3097,43.4,69.93,1.211,1.044,1.589,1.453,1.483,0.137,0.275,0.137,0,0,2.474226804,11.61512027,0.687285223,14.7766323,86,14,0.967,0.794,0.692,0.545,0.5
3098,25.17,74.32,2.022,1.605,2.19,1.206,2,0,0.213,0,0.426,0,8.528784648,15.13859275,3.198294243,26.86567164,82.5,17.5,0.059,0.562,0.017,0.9,0.017
3099,15.46,59.49,1.963,1.711,2.324,1.606,2.185,0,0,0,0,0,3.300330033,11.22112211,0.330033003,14.85148515,86.8,13.2,0.278,0.278,0.099,0.34,0.188
3100,22.68,48.25,1.879,1.32,2.918,1.673,3.668,0.157,0.366,0.052,0.209,0,3.189542484,11.60784314,0.941176471,15.73856209,88.3,11.7,0.749,0.746,0.317,0.582,0
3101,29.85,73.43,0.98,0.802,1.661,1.191,1.467,0.595,2.083,0.521,1.264,0.521,11.67720342,57.19598364,8.702119747,77.57530681,78.4,21.6,0.863,0.932,0.482,0.793,0.548
3102,25.06,73.85,0.975,0.959,1.068,0.986,1.178,0,0,0,0.606,0,3.636363636,23.03030303,1.212121212,27.87878788,83.1,16.9,0.892,0.892,0.859,0.892,0.892
3103,25.99,53.75,1.066,0.874,2.058,1.143,1.414,0.273,0.911,0,0.82,0.273,4.826958106,17.03096539,1.639344262,23.49726776,84.9,15.1,0.751,0.81,0.616,0.689,0.729
3104,61.58,96.05,0.359,0.346,1.163,0.338,0.932,1.084,6.431,0.145,2.746,0.795,36.2716763,161.5606936,23.04913295,220.8815029,74.7,25.3,1,1,0.779,1,0.929
3105,68.48,85.88,0.921,0.536,0.717,0.685,0.828,0.36,6.115,1.079,2.158,1.079,14.38848921,116.9064748,6.474820144,137.7697842,82.4,17.6,1,1,1,1,1
3106,28.29,55.6,1.837,1.115,2.724,1.261,1.41,0.225,0.901,0.09,0.586,0.27,4.414414414,15.63063063,1.081081081,21.12612613,88.6,11.4,0.608,0.681,0.251,0.721,0.519
3107,5.79,53.33,2.362,1.403,1.82,1.643,1.898,0,1.617,0.285,0.761,0.19,4.755111745,17.9743224,1.236329054,23.9657632,87.8,12.2,0.112,0.426,0.335,0.263,0.221
3108,31.63,52.55,1.485,1.099,1.9,1.137,2.334,0.389,1.867,0.156,1.089,0,4.82302606,18.04745235,1.555814858,24.42629327,86.4,13.6,0.809,0.836,0.658,0.841,0.194
3109,12.05,46.88,2.549,2.579,2.735,2.573,3.452,0.072,0.935,0.144,0.467,0,4.673737192,23.33273414,1.761639403,29.76811073,87.1,12.9,0.481,0.151,0.07,0.14,0.04
3110,24.13,70.05,1.845,1.139,2.787,1.119,1.313,0.213,0.852,0.213,1.278,0.639,3.833865815,6.602768903,0,NA,87.3,12.7,0.256,0.65,0.517,0.673,0.445
3111,70.01,88.52,0.384,0.415,1.345,0.528,0.699,1.525,2.287,0.095,2.001,0.381,18.67555979,82.03906622,11.05288232,111.7675083,74.2,25.8,1,1,0.827,1,1
3112,71.35,87.19,0.347,0.304,1.108,0.384,0.768,2.321,3.003,0.273,2.048,0.273,27.16723549,151.3993174,15.6996587,194.2662116,73.6,26.4,1,1,1,1,1
3113,2.24,26.8,5.06,5.642,13.287,7.725,13.388,0.356,0.356,0,0,0,4.62633452,13.52313167,2.135231317,20.28469751,90.6,9.4,0,0.272,0,0,0.055
3114,33.7032967,71.62637363,0.977,0.713,2.112,0.743,2.162,0,1.828,0,1.463,0,15.35648995,35.10054845,2.925045704,53.3820841,80.7,19.3,1,1,0,1,0
3115,62.77,95.61,0.341,0.235,0.928,0.187,0.402,1.362,3.973,0.227,9.648,1.022,19.0692395,62.31555051,5.561861521,86.94665153,77.1,22.9,1,1,0.946,1,1
3116,57.23,97.6,1.097,0.507,0.987,0.544,0.718,0.244,1.792,0.244,1.792,0.733,7.084690554,69.78827362,5.211726384,82.08469055,84.4,15.6,0.92,1,0.92,1,0.98
3117,33.38,82.18,1.064,0.772,1.274,0.749,1.033,0.262,0.787,0.087,0.787,0.262,8.13648294,36.3079615,4.899387577,49.34383202,84.8,15.2,0.817,0.964,0.868,0.957,0.932
