name,percent_of_residents_aged_25_64_with_no_high_school_degree_or_diploma,percent_of_residents_living_in_low_income_lim_at,unemployment_rate_15_years,percent_of_census_families_that_are_lone_parent,average_household_income_after_tax_2020,median_market_income_individual_2020,participation_rate,unaffordable1_percent_households_spending_30_percent_or_more_of_income_on_shelter_costs,unaffordable2_percent_households_spending_30_percent_to_less_than_100_percent_of_income_on_shelter_costs,unsuitable_housing_percent_households_not_suitable,inadequate_housing_percent_households_major_repairs_needed,percent_households_in_core_housing_need,ONS_ID
chapman_mills_3027,0.05559729526671676,0.06475409836065574,0.10922509225092251,0.13740458015267176,112700,44000,70.8,0.1880794701986755,0.16556291390728478,0.08862433862433862,0.02248677248677248,0.09336941813261164,3027
city_view_3028,0.078125,0.12183544303797468,0.09686221009549796,0.18493150684931503,95900,33200,66.5,0.27061310782241016,0.22832980972515857,0.1136842105263158,0.03368421052631579,0.13053097345132744,3028
civic_hospital_3029,0.01774193548387096,0.08789237668161436,0.0859375,0.09120521172638436,132800,69500,67.2,0.2193158953722334,0.18108651911468812,0.03952569169960474,0.06521739130434782,0.08176100628930817,3029
constance_bay_3031,0.11627906976744186,0.08409090909090909,0.1383399209486166,0.16541353383458646,95000,49200,66.4,0.16494845360824742,0.15979381443298968,0.02538071065989847,0.08121827411167512,0.09947643979057592,3031
convent_glen_orleans_woods_3032,0.05574912891986063,0.04131944444444444,0.10364145658263306,0.17114093959731544,103400,48000,58.6,0.14871794871794872,0.14102564102564102,0.02896081771720613,0.03662691652470187,0.08793103448275862,3032
corkery_3033,0.03002309468822171,0.03394255874673629,0.05777777777777777,0.09090909090909093,136800,56000,71.3,0.0873015873015873,0.07936507936507936,0.02745098039215686,0.0588235294117647,0.04,3033
craig_henry_manordale_3034,0.10606060606060606,0.10155799192152336,0.11405529953917053,0.2012847965738758,100300,38800,60.8,0.18298555377207065,0.16853932584269662,0.09294871794871797,0.05929487179487179,0.12091503267973856,3034
crestview_tanglewood_3035,0.08267270668176671,0.05740181268882175,0.12067039106145253,0.16511627906976745,94600,37600,63.8,0.1735668789808917,0.15605095541401273,0.05079365079365079,0.0492063492063492,0.08576051779935275,3035
crystal_bay_lakeview_park_3036,0.05405405405405406,0.04287515762925599,0.08396946564885496,0.1111111111111111,120400,56400,57.7,0.11455108359133127,0.09907120743034056,0.01547987616099071,0.05572755417956656,0.06289308176100629,3036
cumberland_3037,0.05531914893617021,0.03064699205448354,0.06224066390041494,0.10175438596491228,130200,54800,63.4,0.10062893081761008,0.08176100628930817,0.02476780185758514,0.06501547987616099,0.03846153846153846,3037
dunrobin_3038,0.03642384105960265,0.02083333333333333,0.07305194805194805,0.04558404558404558,141000,54400,64.8,0.12626262626262627,0.11616161616161616,0.02233250620347394,0.05955334987593052,0.03826530612244898,3038
edwards_carlsbad_springs_3039,0.13253012048192772,0.04906937394247038,0.07407407407407407,0.14594594594594595,95800,45200,62.9,0.13924050632911392,0.12236286919831224,0.02880658436213992,0.06584362139917696,0.07264957264957266,3039
elmvale_canterbury_3040,0.07230255839822025,0.08318042813455657,0.11771428571428572,0.17697228144989338,90000,43200,62.7,0.20891364902506965,0.19498607242339833,0.06119610570236439,0.05006954102920723,0.14124293785310735,3040
emerald_woods_sawmill_creek_3041,0.15798922800718132,0.21212121212121213,0.13414634146341464,0.2097902097902098,76500,27400,54.1,0.3180722891566265,0.2987951807228916,0.18421052631578944,0.08851674641148326,0.2818627450980392,3041
fallingbrook_3043,0.04196157735085945,0.03050471436494731,0.07862903225806452,0.14390467461044912,118200,53600,66.1,0.1130030959752322,0.1021671826625387,0.02784222737819025,0.02938901778808971,0.04534792806880375,3043
findlay_creek_3044,0.06598334401024984,0.06109550561797752,0.1098556183301946,0.1345646437994723,118800,52000,73.7,0.1952054794520548,0.1815068493150685,0.0683371298405467,0.010250569476082,0.08796296296296297,3044
fisher_heights_3045,0.07017543859649122,0.1050228310502283,0.0784313725490196,0.14644351464435146,102100,45200,62.8,0.20294117647058824,0.18235294117647055,0.0728862973760933,0.05830903790087463,0.11077844311377244,3045
fitzroy_3046,0.06928406466512702,0.05144291091593475,0.07568807339449542,0.10384615384615384,114800,47200,63.7,0.1262135922330097,0.11326860841423948,0.0125,0.071875,0.08223684210526316,3046
glebe_dows_lake_3047,0.02239328201539538,0.07622641509433963,0.09807572936064556,0.11255411255411256,117400,59200,68.9,0.240625,0.21171875,0.03343701399688958,0.08087091757387248,0.09493161705551086,3047
glen_cairn_3048,0.05286024619840695,0.05870362821035466,0.09618320610687024,0.1717032967032967,97700,44800,67.1,0.12633832976445397,0.1145610278372591,0.0417558886509636,0.03533190578158458,0.06616052060737528,3048
greely_3049,0.0627177700348432,0.03368121442125237,0.08034188034188035,0.08978328173374613,139000,58000,68.3,0.10893854748603352,0.09217877094972068,0.02092050209205021,0.03347280334728033,0.03409090909090909,3049
greenbelt_east_3050,0.24242424242424243,0.2037037037037037,0.14285714285714285,0,79000,16600,57.1,0.3333333333333333,0.23809523809523808,0,0.09090909090909093,0,3050
greenboro_east_3052,0.08464849354375897,0.10526315789473684,0.11315417256011316,0.21194029850746268,99000,42000,68.2,0.19282511210762332,0.16367713004484305,0.0957683741648107,0.02895322939866369,0.1103448275862069,3052
greenboro_west_3053,0.0933786078098472,0.10284664830119376,0.1276595744680851,0.2922077922077922,94800,36400,62.9,0.12531969309462915,0.11253196930946292,0.07653061224489796,0.06122448979591836,0.10852713178294572,3053
hawthorn_meadows_sheffield_glen_3054,0.166882276843467,0.17516629711751663,0.13513513513513514,0.253125,68600,32400,62.6,0.23620689655172417,0.20344827586206896,0.13356164383561644,0.0839041095890411,0.2192513368983957,3054
hintonburg_mechanicsville_3055,0.04577464788732394,0.1337995337995338,0.0903914590747331,0.1575875486381323,80400,56000,73.8,0.2592891760904685,0.2334410339256866,0.04508856682769726,0.08132045088566828,0.15339966832504143,3055
hunt_club_park_3056,0.09312638580931264,0.099882491186839,0.14,0.2558139534883721,103200,39600,63.1,0.1649659863945578,0.14285714285714285,0.09863945578231292,0.0391156462585034,0.11805555555555557,3056
iris_3058,0.07802547770700637,0.10456942003514938,0.1324404761904762,0.21180555555555555,81500,36400,68,0.24096385542168677,0.20682730923694775,0.07984031936127745,0.06786427145708583,0.15145228215767634,3058
island_park_wellington_village_3059,0.01873935264054514,0.02658111824014665,0.06688417618270799,0.05161290322580645,169200,72000,68,0.14798206278026907,0.14349775784753363,0.01789709172259507,0.05592841163310962,0.05869074492099323,3059
kanata_lakes_3060,0.02086513994910941,0.06730273336771532,0.09818731117824774,0.09876543209876544,124100,56000,61.9,0.24261168384879725,0.21030927835051547,0.02602739726027397,0.01438356164383561,0.06396588486140725,3060
katimavik_hazeldean_3061,0.05688375927452597,0.04757630161579892,0.1011608623548922,0.1634756995581738,104300,47200,65.2,0.13163972286374134,0.11778290993071594,0.0265282583621684,0.04382929642445214,0.07629107981220658,3061
kinburn_3062,0.06440677966101695,0.05772811918063315,0.06172839506172839,0.06832298136645963,112000,48800,73.3,0.09444444444444444,0.09444444444444444,0.03092783505154639,0.06701030927835051,0.05,3062
laurentian_3063,0.03342128408091469,0.06898126998629511,0.09913043478260868,0.15335463258785942,116200,54400,62.4,0.23510971786833856,0.21630094043887144,0.03541666666666666,0.06145833333333333,0.13631522896698617,3063
ledbury_heron_gate_ridgemont_3065,0.2023082145281738,0.2382142857142857,0.15436746987951808,0.34789391575663026,63900,25200,60.2,0.2896174863387978,0.26229508196721313,0.2072398190045249,0.07873303167420814,0.27876520112254444,3065
leslie_park_bruce_farm_3066,0.02994011976047904,0.06164383561643835,0.11042944785276074,0.2195121951219512,91400,42800,64.8,0.1955719557195572,0.1881918819188192,0.02222222222222222,0.03333333333333333,0.0966542750929368,3066
lowertown_east_3067,0.12447552447552448,0.2675535846267554,0.14351851851851852,0.31690140845070425,61050,33200,56.3,0.28133704735376047,0.233983286908078,0.07977991746905089,0.09491059147180192,0.2072992700729927,3067
lowertown_west_3068,0.04107648725212465,0.1627469426152399,0.11428571428571428,0.13168724279835392,76400,52400,71.6,0.3075801749271137,0.26676384839650147,0.03890489913544669,0.06484149855907781,0.15653495440729484,3068
manor_park_3069,0.09772727272727272,0.16748466257668712,0.11586901763224182,0.21797752808988763,78100,41600,56.1,0.2287735849056604,0.2099056603773585,0.05771495877502945,0.07891637220259129,0.17067307692307693,3069
manotick_3070,0.03235294117647059,0.0429122468659595,0.10138248847926268,0.07822085889570553,152200,60000,62.7,0.1236842105263158,0.10394736842105264,0.01308900523560209,0.04712041884816754,0.0388739946380697,3070
marlborough_3071,0.06557377049180328,0.05543237250554324,0.0859375,0.1276595744680851,113600,49200,68.1,0.075,0.075,0.0119047619047619,0.07738095238095238,0.06918238993710692,3071
merivale_gardens_grenfell_glen_pineglen_country_place_3072,0.04104477611940298,0.03220338983050847,0.07876712328767123,0.1021505376344086,141600,62000,56.7,0.09170305676855896,0.08733624454148471,0.0175438596491228,0.04824561403508772,0.04867256637168141,3072
metcalfe_3073,0.07208588957055215,0.04790419161676647,0.06412213740458016,0.09668508287292818,116200,54400,68.5,0.11750599520383694,0.1079136690647482,0.00934579439252336,0.0630841121495327,0.05084745762711865,3073
munster_ashton_3075,0.05783132530120482,0.04353393085787452,0.06839622641509434,0.07661290322580645,119900,49200,64.2,0.1494661921708185,0.13167259786476868,0.01030927835051546,0.05841924398625429,0.05434782608695652,3075
richmond_3074,0.05383734249713631,0.0353356890459364,0.07741935483870968,0.09746588693957114,125300,52000,68,0.1147011308562197,0.10016155088852988,0.01426307448494453,0.04120443740095087,0.05737704918032787,3074
navan_sarsfield_3076,0.08544303797468354,0.06867671691792294,0.065625,0.07142857142857142,113400,49600,65.6,0.15566037735849056,0.1509433962264151,0.01376146788990825,0.05045871559633028,0.08530805687203792,3076
