name,number_of_seniors_age_65,percent_of_pop_that_are_seniors_age_65,average_age_of_the_population,median_age_of_the_population,number_of_people_living_alone,percent_of_people_living_alone,number_of_after_tax_income_recipients_age_15,average_after_tax_income_in_2020_among_recipients,number_of_market_income_recipients_age_15,average_market_income_in_2020_among_recipients,percent_of_income_from_government_transfers_2020,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_who_know_neither_english_nor_french,percent_of_people_who_know_neither_english_nor_french,percent_of_pop_that_are_indigenous,number_of_people_who_are_indigenous,percent_of_pop_that_are_fn,number_of_people_who_are_fn,percent_of_pop_that_are_metis,number_of_people_who_are_metis,percent_of_pop_that_are_inuit,number_of_people_who_are_inuit,percent_of_pop_that_are_visible_minority,number_of_people_who_are_visible_minority,number_of_pop_in_labour_force,percent_of_pop_in_labour_force_participation_rate,number_of_pop_unemployed,unemployment_rate,number_of_people_age_25_64_with_no_high_school_diploma,percent_of_people_age_25_64_with_no_high_school_diploma,number_of_people_age_25_64_with_a_high_school_diploma,percent_of_people_age_25_64_with_a_high_school_diploma,number_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,percent_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_commute_for_60_minutes_and_over,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24
ottawa_ons2022_riverside_south_leitrim_3100_00000_0_9_percent,1800,1,73.8,73,250,0.1388888888888889,1765,45560,1535,44400,28.9,45080,45000,25.2,130,0.07222222222222222,190,0.10526315789473684,0.01662049861495845,30,0.008310249307479225,15,0.008310249307479225,15,0,0,0.31301939058171746,565,295,0.1638888888888889,65,0.22033898305084745,0,NA,0,NA,0,NA,80,0.34782608695652173,25,0.10869565217391304,0,70,0.038781163434903045,0,0
ottawa_ons2022_riverview_3101_00000_3_8_percent,2435,1,76.4,75,870,0.35728952772073924,2425,48920,2000,50640,29.2,47400,49400,26.6,390,0.1598360655737705,80,0.03285420944558522,0.018480492813141684,45,0.008213552361396304,20,0.004106776180698152,10,0,0,0.1971252566735113,480,280,0.11498973305954825,40,0.14285714285714285,0,NA,0,NA,0,NA,80,0.3333333333333333,20,0.08333333333333333,0,465,0.19096509240246407,0,0
ottawa_ons2022_rockcliffe_park_3102_00000_5_0_percent,385,1,75.2,73.5,50,0.12987012987012986,380,144000,380,207000,5.1,161000,233000,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0.09210526315789473,35,135,0.35526315789473684,0,0,0,NA,0,NA,0,NA,30,0.2222222222222222,0,0,0,25,0.06578947368421052,0,0
ottawa_ons2022_rothwell_heights_beacon_hill_north_3103_00000_1_8_percent,2455,1,75.5,75,475,0.1934826883910387,2435,61350,2220,66300,21.4,60650,68200,18.7,70,0.028513238289205704,30,0.012219959266802444,0.012219959266802444,30,0.006109979633401222,15,0.006109979633401222,15,0,0,0.109979633401222,270,300,0.12219959266802444,15,0.05,0,NA,0,NA,0,NA,115,0.40350877192982454,15,0.05263157894736842,0.0625,400,0.1629327902240326,0,0
ottawa_ons2022_russell_3607_00000_1_3_percent,2690,1,72.9,71.5,510,0.1895910780669145,2685,42040,2385,34280,36.6,40960,36040,33,230,0.08550185873605948,20,0.007434944237918215,0.031598513011152414,85,0.01486988847583643,40,0.01858736059479554,50,0,0,0.01858736059479554,50,410,0.1524163568773234,50,0.12195121951219512,0,NA,0,NA,0,NA,85,0.2361111111111111,40,0.1111111111111111,0.1111111111111111,1065,0.395910780669145,0,0
ottawa_ons2022_sandy_hill_3104_00010_10_1_percent,1615,1,74.7,73.5,645,0.3993808049535604,1595,53650,1370,56850,25.4,53300,59800,21.8,290,0.17956656346749225,40,0.02476780185758514,0.006191950464396285,10,0,0,0,0,0,0,0.19504643962848298,315,305,0.18885448916408668,60,0.19672131147540983,0,NA,0,NA,0,NA,110,0.4489795918367347,35,0.14285714285714285,0,440,0.2724458204334365,0,0
ottawa_ons2022_smiths_falls_3408_00000_2_2_percent,2295,1,75,74,830,0.3616557734204793,2275,35640,1835,25640,47.8,34840,27000,43.6,420,0.1830065359477124,15,0.006521739130434782,0.030434782608695653,70,0.01956521739130435,45,0.008695652173913044,20,0,0,0.008695652173913044,20,255,0.1111111111111111,40,0.1568627450980392,0,NA,0,NA,0,NA,20,0.09523809523809523,25,0.11904761904761904,0.10526315789473684,30,0.013043478260869565,0,0
ottawa_ons2022_south_dundas_3806_00000_2_2_percent,2920,1,74.8,73.5,645,0.2208904109589041,2910,35800,2390,26600,45.2,35120,27840,41.3,435,0.14897260273972604,0,0,0.022222222222222223,65,0.008547008547008548,25,0.010256410256410256,30,0,0,0.011965811965811967,35,370,0.1264957264957265,30,0.08108108108108109,0,NA,0,NA,0,NA,65,0.19117647058823528,40,0.11764705882352941,0.07407407407407407,20,0.006837606837606838,0,0
ottawa_ons2022_south_glengarry_3807_00000_1_7_percent,3255,1,73.7,72,700,0.21505376344086022,3240,43920,2830,39200,33.8,42240,39640,30.4,430,0.13210445468509985,0,0,0.016923076923076923,55,0.003076923076923077,10,0.013846153846153847,45,0,0,0.010769230769230769,35,630,0.19384615384615383,65,0.10317460317460317,0,NA,0,NA,0,NA,180,0.3185840707964602,60,0.10619469026548672,0.05263157894736842,685,0.21076923076923076,0,0
ottawa_ons2022_south_keys_3105_00000_2_1_percent,650,1,75.7,74,185,0.2846153846153846,650,45200,600,37000,34.4,44200,37800,30,35,0.05384615384615385,10,0.015384615384615385,0.015384615384615385,10,0.015384615384615385,10,0,0,0,0,0.1,65,80,0.12307692307692308,20,0.25,0,NA,0,NA,0,NA,20,0.3076923076923077,0,0,0,40,0.06153846153846154,0,0
