name,percent_of_residents_aged_25_64_with_no_high_school_degree_or_diploma,percent_of_residents_living_in_low_income_lim_at,unemployment_rate_15_years,percent_of_census_families_that_are_lone_parent,average_household_income_after_tax_2020,median_market_income_individual_2020,participation_rate,unaffordable1_percent_households_spending_30_percent_or_more_of_income_on_shelter_costs,unaffordable2_percent_households_spending_30_percent_to_less_than_100_percent_of_income_on_shelter_costs,unsuitable_housing_percent_households_not_suitable,inadequate_housing_percent_households_major_repairs_needed,percent_households_in_core_housing_need
ons2022_bridlewood_emerald_meadows_3014_00000_1_2_percent,0.036827195467422094,0.04571984435797665,0.08952702702702703,0.1213527851458886,123200,54800,71.6,0.1109865470852018,0.10201793721973094,0.03303471444568869,0.01959686450167973,0.050339366515837106
ons2022_britannia_3015_00000_4_2_percent,0.11529933481152993,0.1712085308056872,0.1380952380952381,0.24519230769230768,69000,34800,56.8,0.29782359679266895,0.27147766323024053,0.07753705815279362,0.11288483466362599,0.23529411764705882
ons2022_brookside_briarbrook_morgans_grant_3016_00000_1_0_percent,0.021415823914336704,0.05298869143780291,0.0924956369982548,0.13821138211382114,123700,52000,71.7,0.134479271991911,0.11627906976744186,0.04641775983854692,0.02320887991927346,0.060699588477366256
ons2022_brudenell_lyndoch_and_raglan_3704_00000_5_1_percent,0.16,0.19935691318327975,0.1937984496124031,0.08333333333333333,63000,19200,45.7,0.09923664122137404,0.09923664122137404,0.050724637681159424,0.12318840579710146,0.15267175572519084
ons2022_cardinal_creek_3017_00000_1_7_percent,0.04314002828854314,0.022075910147172733,0.08059100067159167,0.15127175368139223,124600,57200,71.9,0.13919821826280623,0.13028953229398663,0.03114571746384872,0.027808676307007785,0.04269662921348315
ons2022_carleton_heights_courtland_park_3018_00000_3_6_percent,0.08980582524271845,0.13194868662186926,0.13496280552603612,0.21025641025641026,89100,32800,65.1,0.26666666666666666,0.22916666666666666,0.07713498622589532,0.06060606060606061,0.1544011544011544
ons2022_carleton_place_3402_00000_2_3_percent,0.07880220646178093,0.0728862973760933,0.0768012668250198,0.18131101813110181,85100,40800,64.3,0.21841332027424093,0.20470127326150833,0.021442495126705652,0.056530214424951264,0.06454816285998013
ons2022_carleton_university_3019_09999_0_0_percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ons2022_carlington_3020_00000_4_4_percent,0.11555312157721796,0.1855637176620888,0.12903225806451613,0.24904701397712833,75900,38000,65.9,0.22836879432624113,0.20709219858156028,0.09071729957805907,0.10407876230661041,0.2001450326323423
ons2022_carp_3021_00000_1_8_percent,0.026521060842433698,0.04419889502762431,0.07428571428571429,0.08311688311688312,152600,56800,66.9,0.1210762331838565,0.1031390134529148,0.015486725663716814,0.03761061946902655,0.04805491990846682
ons2022_carson_grove_carson_meadows_3022_00000_2_5_percent,0.08356039963669391,0.11531007751937984,0.1022944550669216,0.23404255319148937,86400,40000,58.5,0.22875816993464052,0.20588235294117646,0.05863192182410423,0.05428881650380022,0.13489409141583056
ons2022_casselman_3602_00000_2_7_percent,0.09382716049382717,0.059445178335535004,0.050724637681159424,0.14977973568281938,94100,48400,67.6,0.15555555555555556,0.1492063492063492,0.0189873417721519,0.03481012658227848,0.054313099041533544
ons2022_centrepointe_briargreen_3023_00000_1_9_percent,0.038262668045501554,0.06919275123558484,0.11717974180734857,0.1640926640926641,118400,50400,64.1,0.1671309192200557,0.13649025069637882,0.04735376044568245,0.03203342618384401,0.08620689655172414
ons2022_centretown_3024_00000_5_7_percent,0.04559270516717325,0.15752551020408162,0.1003616636528029,0.11171032357473036,82000,52800,75,0.31191066997518613,0.27344913151364764,0.04499631177772314,0.06884681583476764,0.15737874097007223
ons2022_champlain_3603_00000_2_8_percent,0.09931506849315068,0.08952603861907549,0.07957244655581948,0.12880143112701253,83800,34800,56.7,0.12771739130434784,0.12635869565217392,0.02,0.05333333333333334,0.025885558583106268
ons2022_chapel_hill_north_3025_00000_1_4_percent,0.048013245033112585,0.051892811569544874,0.09535864978902954,0.1584852734922861,122300,51600,60.7,0.12013729977116705,0.10640732265446225,0.03424657534246575,0.030821917808219176,0.05098493626882966
ons2022_chapel_hill_south_3026_00000_1_3_percent,0.034310667498440424,0.03545103545103545,0.07789095266626722,0.13027744270205066,127000,57600,72.9,0.14123711340206185,0.1309278350515464,0.0411522633744856,0.024691358024691357,0.042708333333333334
