name,total_population,percent_of_pop_that_are_seniors_65,number_of_seniors_65,average_age_of_the_population,median_age_of_the_population,number_of_children_living_in_one_parent_families,percent_of_children_living_in_one_parent_families,number_of_pop_living_alone,percent_of_pop_living_alone,average_after_tax_income_in_2020_among_recipients,average_market_income_in_2020_among_recipients,percent_of_income_from_government_transfers_2020,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_0_17_in_low_income_based_on_lim_at,percent_of_people_0_17_in_low_income_based_on_lim_at,number_of_people_18_64_in_low_income_based_on_lim_at,percent_of_people_18_64_in_low_income_based_on_lim_at,number_of_people_65_in_low_income_based_on_lim_at,percent_of_people_65_in_low_income_based_on_lim_at,number_of_pop_living_alone_i_e_1_person_household,average_household_size,number_of_owner_households,percent_of_owner_households,percent_of_renter_households,percent_of_households_living_in_core_housing_need,number_of_households_living_in_core_housing_need,percent_of_owner_households_in_core_housing_need,median_monthly_shelter_costs_for_owned_dwellings,average_monthly_shelter_costs_for_owned_dwellings,number_of_tenant_households,percent_of_tenant_households_living_in_subsidized_housing,percent_of_renter_households_in_core_housing_need,median_monthly_shelter_costs_for_rented_dwellings,average_monthly_shelter_costs_for_rented_dwellings,average_size_of_census_families,percent_of_census_families_that_are_one_parent_families,number_of_one_parent_families,percent_of_all_census_families_that_are_one_parent_families,average_number_of_children_in_census_families_with_children,average_after_tax_income_of_all_economic_families,average_after_tax_income_of_couple_with_children_economic_families,average_after_tax_income_of_one_parent_economic_families,number_of_people_with_knowledge_of_only_french_as_an_official_language,percent_of_people_with_knowledge_of_only_french_as_an_official_language,percent_of_pop_with_knowledge_of_neither_english_nor_french,number_of_people_with_knowledge_of_neither_english_nor_french,percent_of_pop_that_are_indigenous,number_of_people_who_are_indigenous,percent_of_pop_that_are_fn,number_of_people_who_are_fn,percent_of_pop_that_are_metis,number_of_people_who_are_metis,percent_of_pop_that_are_inuit,number_of_people_who_are_inuit,percent_of_pop_that_are_immigrants,number_of_immigrants,percent_of_pop_that_are_recent_immigrants_arr_2016_2021,number_of_recent_immigrants_arr_2016_2021,percent_of_pop_that_are_refugees,percent_of_immigrants_that_are_refugees,number_of_refugees,percent_of_pop_that_are_visible_minority,number_of_people_who_are_visible_minority,percent_in_the_labour_force_participation_rate,number_of_pop_in_labour_force,unemployment_rate,number_of_pop_unemployed,number_of_people_age_25_64_w_no_high_school_diploma_or_equivalent,percent_of_pop_age_25_64_with_no_high_school_diploma_or_equivalent,number_of_people_age_25_64_with_a_high_school_diploma,percent_of_people_age_25_64_with_a_high_school_diploma,number_of_pop_age_25_64_with_postsecondary_degree_diploma_certificate,percent_of_pop_age_25_64_with_postsecondary_degree_diploma_certificate,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,number_of_workers_age_15_who_commute_by_car_truck_or_van,percent_of_workers_age_15_who_commute_by_car_truck_or_van,number_of_workers_age_15_who_commute_by_public_transit,percent_of_workers_age_15_who_commute_by_public_transit,number_of_workers_age_15_who_commute_by_walking,percent_of_workers_age_15_who_commute_by_walking,number_of_workers_age_15_who_commute_by_bicycle,percent_of_workers_age_15_who_commute_by_bicycle,number_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_by_other_means,percent_of_workers_who_commute_for_60_minutes_and_over,number_of_youth_age_15_24,percent_of_of_pop_that_are_youth_age_15_24,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home
ons2022_greenboro_west_3053_00000_2_2_percent,5445,0.1414141414141414,770,38.8,37.6,795,0.38875305623471884,350,0.0642791551882461,43680,46880,19.5,41040,47600,12.4,560,0.10284664830119375,170,0.14977973568281938,305,0.08615819209039548,90,0.11688311688311688,345,2.8,1340,0.6836734693877551,0.3163265306122449,0.10852713178294573,210,6,1430,1486,620,44.4,21.3,1160,1108,3,0.2922077922077922,450,0.2922077922077922,1.9,101500,113000,71600,35,0.006427915518824609,0.014692378328741965,80,0.021120293847566574,115,0.017447199265381085,95,0.0027548209366391185,15,0,0,0.35996326905417814,1960,0.03305785123966942,180,0.09366391184573003,0.29394812680115273,510,0.4986225895316804,2715,0.6287625418060201,2820,0.1276595744680851,360,275,0.0933786078098472,2670,0.9066213921901528,2010,0.6825127334465195,885,0.3597560975609756,240,0.0975609756097561,1235,0.7866242038216561,190,0.12101910828025478,45,0.028662420382165606,45,0.028662420382165606,55,0.03503184713375796,0.041401273885350316,775,0.1423324150596878,440,0.08080808080808081
ons2022_hawkesbury_3606_00000_4_1_percent,9830,0.30061037639877924,2955,48.6,54,1005,0.44966442953020136,2155,0.21922685656154628,35760,34880,33.6,33600,35640,26.8,2030,0.20661577608142492,310,0.20875420875420875,1050,0.19498607242339833,660,0.22297297297297297,2160,1.9,2610,0.5137795275590551,0.4862204724409449,0.08167330677290836,410,2.3,870,966,2465,20.1,14.5,810,827,2.6,0.23381294964028776,650,0.23381294964028776,1.7,76200,95000,62400,2020,0.20549338758901323,0.001525940996948118,15,0.04071246819338423,400,0.02391857506361323,235,0.01272264631043257,125,0.0015267175572519084,15,0.059033078880407125,580,0.011704834605597965,115,0.0076297049847405905,0.1744186046511628,75,0.051399491094147584,505,0.4820393974507532,4160,0.11538461538461539,480,1105,0.22854188210961737,3730,0.7714581178903827,2100,0.4343329886246122,415,0.11261872455902307,420,0.11397557666214382,2940,0.900459418070444,30,0.009188361408882083,225,0.06891271056661562,30,0.009188361408882083,45,0.013782542113323124,0.08728943338437979,835,0.0849440488301119,7360,0.7487283825025433
ons2022_hawthorn_meadows_sheffield_glen_3054_00000_7_3_percent,6765,0.1359940872135994,920,38.6,36.4,720,0.3404255319148936,1160,0.1714708056171471,37400,39240,24.6,34600,39120,16.9,1185,0.17516629711751663,315,0.23595505617977527,705,0.15631929046563192,165,0.1783783783783784,1160,2.3,1105,0.3784246575342466,0.6215753424657534,0.2192513368983957,615,10.7,1380,1456,1815,31.1,28.8,1200,1089,3.1,0.253125,405,0.253125,2,88900,94000,66400,215,0.031781226903178125,0.029563932002956393,200,0.04212860310421286,285,0.022912047302291204,155,0.014781966001478197,100,0.0014781966001478197,10,0.3754619364375462,2540,0.09534368070953436,645,0.12342941611234294,0.36784140969163,835,0.5121951219512195,3465,0.6260017809439002,3515,0.13513513513513514,475,645,0.16688227684346701,3220,0.833117723156533,2350,0.6080206985769728,755,0.24794745484400657,385,0.12643678160919541,1545,0.6806167400881057,445,0.1960352422907489,155,0.06828193832599119,65,0.028634361233480177,55,0.024229074889867842,0.06828193832599119,825,0.12195121951219512,975,0.14412416851441243
ons2022_head_clara_and_maria_3707_00009_4_1_percent,240,0.4583333333333333,110,55.4,63.6,0,0,25,0.10416666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,2.1,105,0.875,0.08333333333333333,NA,NA,0,540,720,0,NA,NA,NA,NA,2.4,0,0,0,2.2,NA,NA,NA,0,0,0,0,0.125,30,0.10416666666666667,25,0,0,0,0,0.041666666666666664,10,0,0,0,0,0,0.08333333333333333,20,0.3023255813953488,65,0,0,25,0.2631578947368421,65,0.6842105263157895,40,0.42105263157894735,20,0.3333333333333333,15,0.25,30,0.75,0,0,0,0,0,0,10,0.25,0.25,0,0,15,0.0625
ons2022_hintonburg_mechanicsville_3055_00000_3_8_percent,10725,0.13752913752913754,1475,39.7,36,555,0.31179775280898875,3245,0.30256410256410254,53800,64100,11.3,49320,60900,7.9,1435,0.1337995337995338,180,0.12949640287769784,865,0.10998092816274635,390,0.2653061224489796,3245,1.7,2085,0.3357487922705314,0.6642512077294686,0.15339966832504145,925,5.3,1720,1812,4125,16.5,20.6,1340,1354,2.5,0.1575875486381323,405,0.1575875486381323,1.6,115600,135000,69600,95,0.008857808857808859,0.015850815850815853,170,0.02843822843822844,305,0.015850815850815853,170,0.007925407925407926,85,0.0018648018648018648,20,0.18601398601398603,1995,0.021445221445221447,230,0.0331002331002331,0.2191358024691358,355,0.22937062937062938,2460,0.7383079348397268,7025,0.0903914590747331,635,325,0.045774647887323945,6775,0.954225352112676,5825,0.8204225352112676,3630,0.568075117370892,350,0.054773082942097026,1450,0.5272727272727272,545,0.19818181818181818,445,0.1618181818181818,180,0.06545454545454546,120,0.04363636363636364,0.045454545454545456,945,0.08811188811188811,705,0.06573426573426573
ons2022_horton_3708_00000_5_3_percent,3180,0.2248427672955975,715,45.6,49.6,190,0.21348314606741572,285,0.08962264150943396,42720,44720,19.5,41880,46160,15,275,0.08647798742138364,50,0.08196721311475409,135,0.07277628032345014,90,0.1267605633802817,285,2.5,1175,0.9108527131782945,0.08914728682170543,0.043824701195219126,55,3.1,1120,1232,115,0,17.4,1000,1000,2.8,0.12562814070351758,125,0.12562814070351758,1.8,100400,122000,75000,0,0,0,0,0.1069182389937107,340,0.04874213836477988,155,0.05188679245283019,165,0,0,0.031446540880503145,100,0,0,0,0,0,0.009433962264150943,30,0.5977859778597786,1620,0.08024691358024691,130,140,0.08408408408408409,1525,0.9159159159159159,1020,0.6126126126126126,200,0.13377926421404682,260,0.17391304347826086,1270,0.9844961240310077,0,0,10,0.007751937984496124,0,0,15,0.011627906976744186,0.1124031007751938,330,0.10377358490566038,0,0
ons2022_hunt_club_park_3056_00000_3_4_percent,8515,0.1462125660598943,1245,39.7,39.2,1115,0.3323397913561848,560,0.06576629477392835,44800,52550,17.7,42400,51600,11.6,850,0.099882491186839,295,0.17302052785923755,425,0.0764388489208633,130,0.104,555,2.9,2220,0.7551020408163265,0.24489795918367346,0.11805555555555555,340,7.1,1520,1558,720,47.2,25.7,1220,1172,3.2,0.2558139534883721,605,0.2558139534883721,2,113100,130000,78400,160,0.018790369935408103,0.021139166177334117,180,0.011750881316098707,100,0.004112808460634548,35,0.005875440658049354,50,0,0,0.3971797884841363,3380,0.021739130434782608,185,0.09336465061655902,0.2804232804232804,795,0.5646298472385429,4805,0.6311360448807855,4500,0.14,630,420,0.09312638580931264,4085,0.9057649667405765,3085,0.6840354767184036,1365,0.35316946959896506,385,0.09961190168175937,2205,0.8891129032258065,180,0.07258064516129033,60,0.024193548387096774,10,0.004032258064516129,35,0.014112903225806451,0.02217741935483871,1375,0.16147974163241338,765,0.08984145625366999
ons2022_industrial_east_3057_09999_0_0_percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ons2022_iris_3058_00000_2_9_percent,5690,0.15026362038664323,855,39.4,36,500,0.36363636363636365,795,0.13971880492091387,43160,45640,16.8,26400,44240,12,595,0.10456942003514938,165,0.18857142857142858,380,0.09608091024020228,50,0.05847953216374269,795,2.3,1105,0.4411177644710579,0.5588822355289421,0.15145228215767634,365,2.7,980,1308,1395,8.2,26,1410,1408,2.7,0.21180555555555555,305,0.21180555555555555,1.8,97900,111000,73500,80,0.014072119613016711,0.007036059806508356,40,0.04569420035149385,260,0.029876977152899824,170,0.014059753954305799,80,0,0,0.23550087873462214,1340,0.061511423550087874,350,0.05272407732864675,0.28846153846153844,300,0.3251318101933216,1850,0.680161943319838,3360,0.1324404761904762,445,245,0.07802547770700637,2890,0.9203821656050956,2290,0.7292993630573248,935,0.3202054794520548,375,0.1284246575342466,1505,0.76010101010101,260,0.13131313131313133,140,0.0707070707070707,25,0.012626262626262626,50,0.025252525252525252,0.03787878787878788,945,0.16608084358523725,380,0.06684256816182937
ons2022_island_park_wellington_village_3059_00000_1_9_percent,5460,0.1813186813186813,990,41.8,43.2,135,0.08490566037735849,625,0.11446886446886446,86500,118300,5,80800,107500,4.1,145,0.026581118240146653,0,0,95,0.028831562974203338,30,0.030303030303030304,625,2.4,1735,0.7762863534675615,0.22371364653243847,0.05869074492099323,130,2.6,1510,2056,500,0,18.4,1450,1690,3,0.05161290322580645,80,0.05161290322580645,1.8,214800,184000,164000,25,0.004578754578754579,0.004578754578754579,25,0.021081576535288724,115,0.010999083409715857,60,0.007332722273143905,40,0,0,0.13932172318973418,760,0.01008249312557287,55,0.005494505494505495,0.07228915662650602,30,0.11365719523373052,620,0.6803551609322974,3065,0.06688417618270799,205,55,0.018739352640545145,2880,0.9812606473594548,2635,0.8977853492333902,1820,0.637478108581436,80,0.028021015761821366,555,0.5388349514563107,160,0.1553398058252427,215,0.2087378640776699,85,0.0825242718446602,15,0.014563106796116505,0.02912621359223301,580,0.10622710622710622,230,0.04212454212454213
ons2022_kanata_lakes_3060_00000_2_3_percent,19390,0.19056214543579164,3695,42.5,44.8,870,0.13787638668779714,1680,0.08664259927797834,59850,74100,9.3,57300,71700,6.9,1305,0.06730273336771532,380,0.08941176470588236,705,0.06157205240174673,220,0.05962059620596206,1685,2.7,4985,0.6828767123287671,0.3171232876712329,0.06396588486140725,450,3.5,1570,1776,2315,1.1,13.3,2120,2218,3,0.09876543209876543,560,0.09876543209876543,1.8,142600,158000,89600,85,0.004383702939659618,0.03378029912325941,655,0.009283135636926251,180,0.0038679731820526046,75,0.004899432697266632,95,0,0,0.4076843733883445,7905,0.07117070654976793,1380,0.02372356884992264,0.0659025787965616,460,0.4927797833935018,9555,0.6186915887850467,9930,0.09818731117824774,975,205,0.020865139949109414,9620,0.9791348600508906,8690,0.8844783715012723,4955,0.5536312849162012,495,0.0553072625698324,3375,0.8565989847715736,230,0.0583756345177665,130,0.03299492385786802,45,0.011421319796954314,165,0.04187817258883249,0.05710659898477157,2535,0.13073749355337802,660,0.03403816400206292
ons2022_katimavik_hazeldean_3061_00000_1_7_percent,11135,0.17871576111360574,1990,41.4,41.6,860,0.24641833810888253,890,0.07992815446789403,50800,56950,13.1,48840,56900,9.4,530,0.04757630161579892,155,0.06739130434782609,260,0.03798392987582177,120,0.06030150753768844,890,2.6,3525,0.8131487889273357,0.18685121107266436,0.07629107981220658,325,4.7,1360,1398,815,8,20.3,1510,1488,2.9,0.1634756995581738,555,0.1634756995581738,1.7,116800,135000,74800,50,0.00449034575662326,0.014818140996856757,165,0.01660682226211849,185,0.011220825852782765,125,0.004039497307001795,45,0,0,0.22710951526032316,2530,0.042639138240574505,475,0.037269869779973056,0.20906801007556675,415,0.23204667863554757,2585,0.6518918918918919,6030,0.1011608623548922,610,345,0.05688375927452597,5720,0.9431162407254741,4745,0.7823577906018137,2395,0.4422899353647276,355,0.06555863342566944,2490,0.8258706467661692,205,0.06799336650082918,140,0.04643449419568822,30,0.009950248756218905,145,0.04809286898839138,0.029850746268656716,1195,0.10731926358329591,395,0.03547373147732375
ons2022_killaloe_hagarty_and_richards_3709_00000_5_3_percent,2405,0.30561330561330563,735,48.3,54.8,140,0.23333333333333334,350,0.14553014553014554,37440,36120,26.4,36080,37320,21.7,330,0.13721413721413722,45,0.1125,140,0.10980392156862745,150,0.20408163265306123,355,2.2,980,0.8868778280542986,0.1085972850678733,0.1643192488262911,175,12.7,650,878,125,28,39.1,624,740,2.7,0.13194444444444445,95,0.13194444444444445,1.8,85400,104000,58000,0,0,0,0,0.08731808731808732,210,0.05405405405405406,130,0.02702702702702703,65,0,0,0.062370062370062374,150,0.006237006237006237,15,0.008316008316008316,0.25,20,0.02286902286902287,55,0.501187648456057,1055,0.14218009478672985,150,90,0.08071748878923767,1020,0.9147982062780269,685,0.6143497757847534,135,0.14917127071823205,170,0.1878453038674033,720,0.935064935064935,0,0,40,0.05194805194805195,0,0,0,0,0.11038961038961038,260,0.10810810810810811,0,0
ons2022_kinburn_3062_00000_4_8_percent,2680,0.15111940298507462,405,40.6,42,90,0.1005586592178771,145,0.054104477611940295,50440,58200,12.4,49520,58600,8.9,155,0.05772811918063315,40,0.06956521739130435,75,0.043859649122807015,45,0.1125,145,2.8,905,0.9329896907216495,0.06701030927835051,0.05,45,4.2,1440,1484,60,0,0,1110,1000,3.1,0.06832298136645963,55,0.06832298136645963,1.8,120600,136000,74000,0,0,0,0,0.035381750465549346,95,0.00558659217877095,15,0.020484171322160148,55,0,0,0.055865921787709494,150,0,0,0.0037313432835820895,0.11764705882352941,10,0.03910614525139665,105,0.7330316742081447,1620,0.06172839506172839,100,95,0.06440677966101695,1375,0.9322033898305084,1045,0.7084745762711865,515,0.33993399339933994,190,0.1254125412541254,920,0.9246231155778895,0,0,45,0.04522613065326633,0,0,25,0.02512562814070352,0.03015075376884422,335,0.125,70,0.0260707635009311
ons2022_lanark_highlands_3404_00000_7_3_percent,5715,0.2537182852143482,1450,46.6,52,320,0.2379182156133829,645,0.11286089238845144,42600,47080,20.3,39200,45320,16.9,680,0.1189851268591426,70,0.07216494845360824,340,0.10303030303030303,265,0.18275862068965518,640,2.3,2205,0.8837675350701403,0.11623246492985972,0.04791666666666667,115,3.1,980,1101,285,0,19.3,990,1010,2.6,0.12021857923497267,220,0.12021857923497267,1.7,94700,101000,68000,0,0,0,0,0.04461942257217848,255,0.023622047244094488,135,0.019247594050743656,110,0,0,0.05861767279090114,335,0.008748906386701663,50,0,0,0,0.00699912510936133,40,0.5670731707317073,2790,0.0931899641577061,260,425,0.13866231647634583,2640,0.8613376835236541,1820,0.5938009787928222,790,0.31225296442687744,485,0.191699604743083,1685,0.9683908045977011,10,0.005747126436781609,40,0.022988505747126436,0,0,10,0.005747126436781609,0.16954022988505746,410,0.07174103237095363,65,0.011363636363636364
ons2022_laurentian_3063_00000_1_7_percent,10945,0.20740063956144358,2270,43.4,45.6,695,0.2202852614896989,1535,0.14024668798538145,63400,78900,9.5,62150,79300,6.8,755,0.06898126998629511,135,0.06164383561643835,435,0.06707787201233616,180,0.07929515418502203,1535,2.3,2805,0.584375,0.415625,0.13631522896698617,640,2.7,1360,1926,2000,2.5,29.7,1310,1394,2.9,0.15335463258785942,480,0.15335463258785942,1.7,148200,178000,90800,40,0.003654636820465966,0.009593421653723162,105,0.019186843307446324,210,0.010507080858839652,115,0.005025125628140704,55,0.001827318410232983,20,0.1827318410232983,2000,0.03334856098675194,365,0.015989036089538604,0.1263537906137184,175,0.16308816811329374,1785,0.6236442516268981,5750,0.09913043478260869,570,190,0.03342128408091469,5495,0.9665787159190853,4855,0.8540017590149517,2810,0.5424710424710425,300,0.05791505791505792,1630,0.6892177589852009,320,0.13530655391120508,255,0.10782241014799154,70,0.02959830866807611,80,0.03382663847780127,0.03805496828752643,1270,0.11603471904979443,390,0.03563270899954317
ons2022_laurentian_hills_3710_00000_3_6_percent,2885,0.18370883882149047,530,42.2,42.4,150,0.19230769230769232,335,0.11611785095320624,49440,55500,15.1,50280,58900,10.7,155,0.05381944444444445,0,0,105,0.05982905982905983,45,0.08490566037735849,340,2.3,1125,0.9,0.1,0.044,55,4,1150,1166,125,0,0,1000,920,2.8,0.11731843575418995,105,0.11731843575418995,1.7,104200,116000,71000,0,0,0,0,0.11805555555555555,340,0.0798611111111111,230,0.03125,90,0,0,0.041666666666666664,120,0,0,0,0,0,0.026041666666666668,75,0.5833333333333334,1365,0.054945054945054944,75,165,0.10248447204968944,1435,0.8913043478260869,935,0.5807453416149069,195,0.1511627906976744,105,0.08139534883720931,1055,0.9723502304147466,0,0,10,0.009216589861751152,0,0,15,0.013824884792626729,0.03225806451612903,200,0.06932409012131716,85,0.029462738301559793
ons2022_laurentian_valley_3711_00000_1_9_percent,9465,0.20602218700475436,1950,43.5,45.6,535,0.19489981785063754,725,0.07659799260433175,44920,48400,17.8,44200,49840,13.3,610,0.06448202959830866,90,0.049315068493150684,295,0.05184534270650264,230,0.11794871794871795,720,2.5,3270,0.8790322580645161,0.12096774193548387,0.04419889502762431,160,2,980,1156,450,0,22.1,1020,1096,2.8,0.12626262626262627,375,0.12626262626262627,1.7,104700,125000,73200,15,0.001584786053882726,0.0010565240359218173,10,0.10042283298097252,950,0.05866807610993657,555,0.033298097251585626,315,0,0,0.037526427061310784,355,0.0021141649048625794,20,0.0021130480718436345,0.0975609756097561,20,0.023255813953488372,220,0.6085858585858586,4820,0.0912863070539419,440,525,0.10427010923535253,4505,0.8947368421052632,3220,0.6395233366434955,700,0.15963511972633979,495,0.11288483466362599,3525,0.9591836734693877,0,0,75,0.02040816326530612,0,0,80,0.021768707482993196,0.03945578231292517,930,0.098256735340729,240,0.025356576862123614
ons2022_lebreton_development_3064_00999_20_0_percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ons2022_ledbury_heron_gate_ridgemont_3065_00000_6_2_percent,14000,0.0975,1365,34.4,31.8,2180,0.418426103646833,1885,0.13464285714285715,34040,33480,31.8,29840,33480,22.6,3335,0.2382142857142857,1105,0.30779944289693595,1720,0.19005524861878453,505,0.3713235294117647,1880,2.5,1270,0.22986425339366515,0.7692307692307693,0.27876520112254444,1490,13.2,1360,1380,4255,31.4,32.5,1180,1121,3.3,0.34789391575663026,1115,0.34789391575663026,2.2,76000,83000,59900,535,0.038227938549481956,0.05180421579135405,725,0.02214285714285714,310,0.008571428571428572,120,0.01107142857142857,155,0.0017857142857142857,25,0.4742857142857143,6640,0.1357142857142857,1900,0.23035714285714284,0.5205811138014528,3225,0.6917857142857143,9685,0.6019945602901179,6640,0.15436746987951808,1025,1490,0.2023082145281738,5875,0.7976917854718262,4290,0.5824847250509165,1415,0.251779359430605,800,0.1423487544483986,2860,0.6858513189448441,940,0.22541966426858512,200,0.047961630695443645,40,0.009592326139088728,125,0.02997601918465228,0.07314148681055156,2300,0.16428571428571428,1530,0.10932475884244373
ons2022_leslie_park_bruce_farm_3066_00000_3_8_percent,2915,0.20754716981132076,605,44.8,45.6,245,0.34265734265734266,455,0.15608919382504288,50400,54500,15,45720,52000,11.1,180,0.06164383561643835,35,0.07526881720430108,95,0.051630434782608696,55,0.09016393442622951,460,2.2,990,0.7333333333333333,0.26666666666666666,0.09665427509293681,130,7.6,1320,1336,365,0,15.3,1680,1720,2.7,0.21951219512195122,180,0.21951219512195122,1.6,106600,116000,84000,15,0.005136986301369863,0.02054794520547945,60,0.04280821917808219,125,0.015410958904109588,45,0.02226027397260274,65,0.003424657534246575,10,0.2534246575342466,740,0.04452054794520548,130,0.058319039451114926,0.2857142857142857,170,0.23972602739726026,700,0.6481113320079522,1630,0.11042944785276074,180,50,0.029940119760479042,1615,0.9670658682634731,1325,0.7934131736526946,630,0.4359861591695502,170,0.11764705882352941,615,0.75,125,0.1524390243902439,60,0.07317073170731707,0,0,20,0.024390243902439025,0.06097560975609756,240,0.0823327615780446,155,0.053082191780821915
ons2022_lowertown_east_3067_00000_6_5_percent,6770,0.1757754800590842,1190,39.4,35.2,855,0.5135135135135135,1950,0.2880354505169867,40560,44680,23.6,36920,44120,17.6,1810,0.2675535846267554,325,0.2620967741935484,1095,0.25259515570934254,390,0.3277310924369748,1950,1.9,510,0.14030261348005502,0.8583218707015131,0.2072992700729927,710,6.1,1500,1720,3120,38,23.2,1100,1103,2.9,0.31690140845070425,450,0.31690140845070425,2,86700,98000,62000,420,0.06208425720620843,0.017738359201773836,120,0.030303030303030304,205,0.019955654101995565,135,0.009608277900960829,65,0,0,0.29046563192904656,1965,0.05617147080561715,380,0.11742983751846381,0.43922651933701656,795,0.4138950480413895,2800,0.5629887054735013,3240,0.14351851851851852,465,445,0.12447552447552447,3130,0.8755244755244755,2535,0.7090909090909091,1235,0.44504504504504505,245,0.08828828828828829,690,0.45098039215686275,370,0.24183006535947713,355,0.23202614379084968,60,0.0392156862745098,45,0.029411764705882353,0.06535947712418301,990,0.14623338257016247,1675,0.24759793052475979
ons2022_lowertown_west_3068_00000_6_2_percent,5315,0.17121354656632173,910,43.8,40.4,205,0.5,1990,0.374412041392286,53150,63150,11.5,49720,62450,6.9,865,0.1627469426152399,60,0.2608695652173913,695,0.16666666666666666,110,0.12087912087912088,1990,1.5,1145,0.329971181556196,0.670028818443804,0.15653495440729484,515,5.5,1700,1832,2330,12,20.5,1300,1346,2.2,0.13168724279835392,160,0.13168724279835392,1.3,106800,113000,60400,105,0.01975540921919097,0.0018814675446848542,10,0.03951081843838194,210,0.022577610536218252,120,0.01317027281279398,70,0,0,0.22295390404515522,1185,0.041392285983066796,220,0.028222013170272814,0.15306122448979592,150,0.2634054562558796,1400,0.7156767283349562,3675,0.11428571428571428,420,145,0.04107648725212465,3380,0.9575070821529745,2975,0.8427762039660056,1730,0.5314900153609831,180,0.055299539170506916,535,0.3554817275747508,270,0.17940199335548174,570,0.3787375415282392,50,0.03322259136212625,85,0.05647840531561462,0.053156146179401995,700,0.1317027281279398,995,0.187206020696143
ons2022_madawaska_valley_3712_00000_7_7_percent,3645,0.31824417009602196,1160,49.8,56.4,245,0.28160919540229884,615,0.16872427983539096,37040,36320,28.2,35160,37800,23.3,590,0.1620879120879121,65,0.11607142857142858,300,0.15584415584415584,220,0.1896551724137931,620,2.1,1425,0.8309037900874635,0.1661807580174927,0.06231454005934718,105,2.8,645,876,285,15.8,23.2,755,715,2.7,0.14027149321266968,155,0.14027149321266968,1.8,86600,104000,66000,0,0,0.0027472527472527475,10,0.0673076923076923,245,0.03159340659340659,115,0.03571428571428571,130,0,0,0.08379120879120878,305,0.0027472527472527475,10,0.012345679012345678,0.3333333333333333,45,0.034340659340659344,125,0.48119122257053293,1535,0.09120521172638436,140,295,0.17151162790697674,1425,0.8284883720930233,805,0.4680232558139535,195,0.14028776978417265,285,0.20503597122302158,1085,0.9156118143459916,0,0,65,0.05485232067510549,0,0,25,0.02109704641350211,0.10126582278481013,305,0.08367626886145405,0,0
ons2022_manor_park_3069_00000_2_5_percent,8150,0.254601226993865,2075,46.2,47.6,610,0.33424657534246577,1835,0.22515337423312884,48240,56200,17.4,45360,56150,13.1,1365,0.16748466257668712,250,0.199203187250996,685,0.1421161825726141,430,0.20772946859903382,1840,1.9,2040,0.48056537102473496,0.5206124852767963,0.17067307692307693,710,7.5,1280,1596,2210,27.8,26.1,1160,1134,2.6,0.21797752808988763,485,0.21797752808988763,1.5,101800,111000,59800,365,0.04478527607361963,0.011656441717791411,95,0.03803680981595092,310,0.012883435582822086,105,0.0196319018404908,160,0.0036809815950920245,30,0.25214723926380367,2055,0.06073619631901841,495,0.06503067484662577,0.30903790087463556,530,0.2723926380368098,2220,0.56113074204947,3970,0.11586901763224182,460,430,0.09772727272727273,3965,0.9011363636363636,3210,0.7295454545454545,1410,0.4017094017094017,325,0.09259259259259259,1355,0.6483253588516746,395,0.18899521531100477,175,0.08373205741626795,70,0.03349282296650718,95,0.045454545454545456,0.06220095693779904,605,0.07423312883435583,2180,0.2674846625766871
