name,total_population,number_of_seniors_age_65,percent_of_pop_that_are_seniors_age_65,average_age_of_the_population,median_age_of_the_population,number_of_people_living_alone,percent_of_people_living_alone,number_of_after_tax_income_recipients_age_15,average_after_tax_income_in_2020_among_recipients,number_of_market_income_recipients_age_15,average_market_income_in_2020_among_recipients,percent_of_income_from_government_transfers_2020,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_who_know_neither_english_nor_french,percent_of_people_who_know_neither_english_nor_french,percent_of_pop_that_are_indigenous,number_of_people_who_are_indigenous,percent_of_pop_that_are_fn,number_of_people_who_are_fn,percent_of_pop_that_are_metis,number_of_people_who_are_metis,percent_of_pop_that_are_inuit,number_of_people_who_are_inuit,percent_of_pop_that_are_visible_minority,number_of_people_who_are_visible_minority,number_of_pop_in_labour_force,percent_of_pop_in_labour_force_participation_rate,number_of_pop_unemployed,unemployment_rate,number_of_people_age_25_64_with_no_high_school_diploma,percent_of_people_age_25_64_with_no_high_school_diploma,number_of_people_age_25_64_with_a_high_school_diploma,percent_of_people_age_25_64_with_a_high_school_diploma,number_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,percent_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_commute_for_60_minutes_and_over,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24
ottawa_ons2022_beaverbrook_3005_00000_2_3_percent,195,30,0.15384615384615385,39.6,42.4,15,0.07692307692307693,160,44800,145,50000,18.5,45000,53000,12.8,40,0.20512820512820512,0,0,1,200,0.425,85,0.425,85,0,0,0,0,85,0.4857142857142857,10,0.11764705882352941,0,0,105,1,75,0.7142857142857143,20,0.25,10,0.125,0.3333333333333333,0,0,35,0.1794871794871795
ottawa_ons2022_beckwith_3401_00000_1_8_percent,375,20,0.05333333333333334,33.1,36.8,25,0.06666666666666667,245,50400,225,58800,9.4,51200,59600,9,0,0,0,0,1,380,0.5131578947368421,195,0.40789473684210525,155,0,0,0,0,200,0.7547169811320755,10,0.05,30,0.15,170,0.85,140,0.7,40,0.21052631578947367,40,0.21052631578947367,0.06666666666666667,10,0.02666666666666667,45,0.12
ottawa_ons2022_beechwood_cemetery_3006_09999_0_0_percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ottawa_ons2022_bells_corners_east_3007_00000_1_1_percent,185,15,0.08108108108108109,38.2,42.4,15,0.08108108108108109,140,47000,115,58000,14.8,43000,53000,11.6,30,0.16216216216216217,0,0,1,190,0.42105263157894735,80,0.5,95,0,0,0,0,100,0.6666666666666666,0,0,15,0.15,90,0.9,60,0.6,25,0.25,10,0.1,0,0,0,30,0.16216216216216217
ottawa_ons2022_bells_corners_west_3008_00000_2_6_percent,130,10,0.07692307692307693,34,36,10,0.07692307692307693,85,47000,70,52000,20,44000,54000,12,0,0,0,0,1,130,0.5,65,0.4230769230769231,55,0.07692307692307693,10,0,0,70,0.7368421052631579,0,0,15,0.2,55,0.7333333333333333,35,0.4666666666666667,20,0.26666666666666666,10,0.13333333333333333,0,0,0,0,0
ottawa_ons2022_billings_bridge_heron_park_3009_00000_6_4_percent,235,0,0,30.2,28.4,45,0.19148936170212766,195,40400,150,48000,19.6,30800,35600,13.6,55,0.23404255319148937,0,0,1,235,0.3829787234042553,90,0.3617021276595745,85,0.2127659574468085,50,0,0,135,0.6923076923076923,10,0.07407407407407407,30,0.20689655172413793,110,0.7586206896551724,80,0.5517241379310345,35,0.2692307692307692,20,0.15384615384615385,0.1111111111111111,0,0,50,0.2127659574468085
ottawa_ons2022_blackburn_hamlet_3010_00000_2_3_percent,245,10,0.04081632653061224,36,36.8,30,0.12244897959183673,180,45600,165,46400,20,40800,44400,11.6,0,0,0,0,1,245,0.5510204081632653,135,0.32653061224489793,80,0,0,0,0,145,0.725,30,0.20689655172413793,45,0.3,110,0.7333333333333333,80,0.5333333333333333,40,0.34782608695652173,0,0,0,10,0.04081632653061224,40,0.16326530612244897
ottawa_ons2022_blossom_park_timbermill_3011_00000_2_0_percent,145,25,0.1724137931034483,42,46.8,20,0.13793103448275862,105,43000,95,46000,18.5,40000,49000,14,0,0,0,0,1,140,0.39285714285714285,55,0.5,70,0,0,0,0,45,0.375,10,0.2222222222222222,25,0.2777777777777778,65,0.7222222222222222,55,0.6111111111111112,15,0.375,0,0,0,15,0.10344827586206896,0,0
ottawa_ons2022_bonnechere_valley_3703_00000_4_5_percent,305,40,0.13114754098360656,41,44.4,40,0.13114754098360656,270,38400,215,41200,24.4,36400,44000,18,55,0.18333333333333332,0,0,1,300,0.55,165,0.45,135,0,0,0,0,180,0.6545454545454545,40,0.2222222222222222,25,0.14285714285714285,145,0.8285714285714286,105,0.6,0,0,15,0.10714285714285714,0.21428571428571427,0,0,60,0.19672131147540983
ottawa_ons2022_borden_farm_fisher_glen_3012_00000_3_2_percent,220,30,0.13636363636363635,39,36.8,20,0.09090909090909091,170,51600,155,61000,12.4,53600,62000,12.8,0,0,0,0,1,225,0.6,135,0.28888888888888886,65,0.08888888888888889,20,0,0,110,0.6111111111111112,20,0.18181818181818182,10,0.08,115,0.92,85,0.68,50,0.5263157894736842,15,0.15789473684210525,0.2222222222222222,15,0.06818181818181818,30,0.13636363636363635
