ONS_name,ONS_ID,number_of_children_living_in_one_parent_families,percent_of_children_living_in_one_parent_families,number_of_pop_living_alone_i_e_1_person_household,average_household_size,number_of_owner_households,percent_of_owner_households,percent_of_renter_households,percent_of_households_living_in_core_housing_need,number_of_households_living_in_core_housing_need,percent_of_owner_households_in_core_housing_need,median_monthly_shelter_costs_for_owned_dwellings,average_monthly_shelter_costs_for_owned_dwellings,number_of_tenant_households,percent_of_tenant_households_living_in_subsidized_housing,percent_of_renter_households_in_core_housing_need,median_monthly_shelter_costs_for_rented_dwellings,average_monthly_shelter_costs_for_rented_dwellings,average_size_of_census_families,percent_of_census_families_that_are_one_parent_families,number_of_one_parent_families,percent_of_all_census_families_that_are_one_parent_families,average_number_of_children_in_census_families_with_children,average_after_tax_income_of_all_economic_families,average_after_tax_income_of_couple_with_children_economic_families,average_after_tax_income_of_one_parent_economic_families,pop
VAR_ID,VAR200,VAR6,VAR7,VAR26,VAR27,VAR28,VAR29,VAR30,VAR31,VAR32,VAR33,VAR34,VAR35,VAR36,VAR37,VAR38,VAR39,VAR40,VAR41,VAR42,VAR43,VAR44,VAR45,VAR46,VAR47,VAR48,VAR201
greenboro_east_3052,3052,600,0.268456376,555,2.8,1730,0.770601336,0.229398664,0.110344828,240,6.5,1290,1426,520,24,27.1,1370,1315,3.1,0.211940299,355,0.211940299,1.9,114600,127000,74000,general
greenboro_west_3053,3053,795,0.388753056,345,2.8,1340,0.683673469,0.316326531,0.108527132,210,6,1430,1486,620,44.4,21.3,1160,1108,3,0.292207792,450,0.292207792,1.9,101500,113000,71600,general
hawthorn_meadows_sheffield_glen_3054,3054,720,0.340425532,1160,2.3,1105,0.378424658,0.621575342,0.219251337,615,10.7,1380,1456,1815,31.1,28.8,1200,1089,3.1,0.253125,405,0.253125,2,88900,94000,66400,general
hintonburg_mechanicsville_3055,3055,555,0.311797753,3245,1.7,2085,0.335748792,0.664251208,0.153399668,925,5.3,1720,1812,4125,16.5,20.6,1340,1354,2.5,0.157587549,405,0.157587549,1.6,115600,135000,69600,general
hunt_club_park_3056,3056,1115,0.332339791,555,2.9,2220,0.755102041,0.244897959,0.118055556,340,7.1,1520,1558,720,47.2,25.7,1220,1172,3.2,0.255813953,605,0.255813953,2,113100,130000,78400,general
industrial_east_3057,3057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,general
iris_3058,3058,500,0.363636364,795,2.3,1105,0.441117764,0.558882236,0.151452282,365,2.7,980,1308,1395,8.2,26,1410,1408,2.7,0.211805556,305,0.211805556,1.8,97900,111000,73500,general
island_park_wellington_village_3059,3059,135,0.08490566,625,2.4,1735,0.776286353,0.223713647,0.058690745,130,2.6,1510,2056,500,0,18.4,1450,1690,3,0.051612903,80,0.051612903,1.8,214800,184000,164000,general
kanata_lakes_3060,3060,870,0.137876387,1685,2.7,4985,0.682876712,0.317123288,0.063965885,450,3.5,1570,1776,2315,1.1,13.3,2120,2218,3,0.098765432,560,0.098765432,1.8,142600,158000,89600,general
katimavik_hazeldean_3061,3061,860,0.246418338,890,2.6,3525,0.813148789,0.186851211,0.07629108,325,4.7,1360,1398,815,8,20.3,1510,1488,2.9,0.1634757,555,0.1634757,1.7,116800,135000,74800,general
