ONS_ID,name,value,value_rounded
3013,food_convenience_dist_closest_3_popwt,1.091,1.09
3014,food_convenience_dist_closest_3_popwt,1.54,1.54
3015,food_convenience_dist_closest_3_popwt,0.669,0.67
3016,food_convenience_dist_closest_3_popwt,1.347,1.35
3017,food_convenience_dist_closest_3_popwt,1.975,1.98
3018,food_convenience_dist_closest_3_popwt,0.781,0.78
3019,food_convenience_dist_closest_3_popwt,NA,NA
3020,food_convenience_dist_closest_3_popwt,0.673,0.67
3021,food_convenience_dist_closest_3_popwt,5.9,5.9
3022,food_convenience_dist_closest_3_popwt,0.997,1
3023,food_convenience_dist_closest_3_popwt,1.17,1.17
3024,food_convenience_dist_closest_3_popwt,0.332,0.33
3025,food_convenience_dist_closest_3_popwt,1.257,1.26
3026,food_convenience_dist_closest_3_popwt,2.773,2.77
3027,food_convenience_dist_closest_3_popwt,1.496,1.5
3028,food_convenience_dist_closest_3_popwt,1.012,1.01
3029,food_convenience_dist_closest_3_popwt,0.949,0.95
3030,food_convenience_dist_closest_3_popwt,NA,NA
3031,food_convenience_dist_closest_3_popwt,3.231,3.23
3032,food_convenience_dist_closest_3_popwt,1.14,1.14
3033,food_convenience_dist_closest_3_popwt,9.273,9.27
3034,food_convenience_dist_closest_3_popwt,1.193,1.19
3035,food_convenience_dist_closest_3_popwt,1.315,1.31
3036,food_convenience_dist_closest_3_popwt,1.704,1.7
3037,food_convenience_dist_closest_3_popwt,3.329,3.33
3038,food_convenience_dist_closest_3_popwt,6.458,6.46
3039,food_convenience_dist_closest_3_popwt,5.496,5.5
3040,food_convenience_dist_closest_3_popwt,0.833,0.83
3041,food_convenience_dist_closest_3_popwt,0.694,0.69
3042,food_convenience_dist_closest_3_popwt,NA,NA
3043,food_convenience_dist_closest_3_popwt,1.404,1.4
3044,food_convenience_dist_closest_3_popwt,1.423,1.42
3045,food_convenience_dist_closest_3_popwt,1.104,1.1
3046,food_convenience_dist_closest_3_popwt,7.852,7.85
3047,food_convenience_dist_closest_3_popwt,0.63,0.63
3048,food_convenience_dist_closest_3_popwt,1.504,1.5
3049,food_convenience_dist_closest_3_popwt,3.929,3.93
3050,food_convenience_dist_closest_3_popwt,0.963,0.96
3051,food_convenience_dist_closest_3_popwt,2.763,2.76
3052,food_convenience_dist_closest_3_popwt,0.945,0.94
3053,food_convenience_dist_closest_3_popwt,0.946,0.95
3054,food_convenience_dist_closest_3_popwt,0.866,0.87
3055,food_convenience_dist_closest_3_popwt,0.457,0.46
3056,food_convenience_dist_closest_3_popwt,0.985,0.98
3057,food_convenience_dist_closest_3_popwt,NA,NA
3058,food_convenience_dist_closest_3_popwt,0.864,0.86
3059,food_convenience_dist_closest_3_popwt,0.936,0.94
3060,food_convenience_dist_closest_3_popwt,1.781,1.78
3061,food_convenience_dist_closest_3_popwt,1.059,1.06
3062,food_convenience_dist_closest_3_popwt,8.613,8.61
3063,food_convenience_dist_closest_3_popwt,0.928,0.93
3064,food_convenience_dist_closest_3_popwt,NA,NA
3065,food_convenience_dist_closest_3_popwt,0.831,0.83
3066,food_convenience_dist_closest_3_popwt,1.432,1.43
3067,food_convenience_dist_closest_3_popwt,0.462,0.46
3068,food_convenience_dist_closest_3_popwt,0.308,0.31
3069,food_convenience_dist_closest_3_popwt,0.686,0.69
3070,food_convenience_dist_closest_3_popwt,4.01,4.01
3071,food_convenience_dist_closest_3_popwt,11.811,11.81
3072,food_convenience_dist_closest_3_popwt,1.571,1.57
3073,food_convenience_dist_closest_3_popwt,7.712,7.71
3074,food_convenience_dist_closest_3_popwt,4.196,4.2
3075,food_convenience_dist_closest_3_popwt,12.066,12.07
3076,food_convenience_dist_closest_3_popwt,6.336,6.34
3077,food_convenience_dist_closest_3_popwt,0.69,0.69
3078,food_convenience_dist_closest_3_popwt,7.999,8
3079,food_convenience_dist_closest_3_popwt,0.908,0.91
3080,food_convenience_dist_closest_3_popwt,1.26,1.26
3081,food_convenience_dist_closest_3_popwt,1.214,1.21
3082,food_convenience_dist_closest_3_popwt,0.578,0.58
3083,food_convenience_dist_closest_3_popwt,0.827,0.83
3084,food_convenience_dist_closest_3_popwt,NA,NA
3085,food_convenience_dist_closest_3_popwt,1.112,1.11
3086,food_convenience_dist_closest_3_popwt,6.367,6.37
3087,food_convenience_dist_closest_3_popwt,0.648,0.65
3088,food_convenience_dist_closest_3_popwt,1.004,1
3089,food_convenience_dist_closest_3_popwt,0.738,0.74
3090,food_convenience_dist_closest_3_popwt,1.191,1.19
3091,food_convenience_dist_closest_3_popwt,2.034,2.03
3092,food_convenience_dist_closest_3_popwt,1.095,1.09
3093,food_convenience_dist_closest_3_popwt,1.066,1.07
